YYYY-MM-DD,hh:mm, Value
2019-01-25,--:--,     28.040
2019-01-26,--:--,     27.820
2019-01-27,--:--,     27.430
2019-01-28,--:--,     27.480
2019-01-29,--:--,     27.230
2019-01-30,--:--,     27.080
2019-01-31,--:--,     26.900
2019-02-01,--:--,     26.930
2019-02-02,--:--,     26.810
2019-02-03,--:--,     26.740
2019-02-04,--:--,     26.760
2019-02-05,--:--,     26.610
2019-02-06,--:--,     26.390
2019-02-07,--:--,     26.060
2019-02-08,--:--,     25.980
2019-02-09,--:--,     25.870
2019-02-10,--:--,     25.800
2019-02-11,--:--,     25.760
2019-02-12,--:--,     25.650
2019-02-13,--:--,     25.520
2019-02-14,--:--,     25.310
2019-02-15,--:--,     25.480
2019-02-16,--:--,     25.450
2019-02-17,--:--,     25.240
2019-02-18,--:--,     25.190
2019-02-19,--:--,     25.130
2019-02-20,--:--,     25.170
2019-02-21,--:--,     25.130
2019-02-22,--:--,     25.680
2019-02-23,--:--,     27.260
2019-02-24,--:--,     26.210
2019-02-25,--:--,     25.750
2019-02-26,--:--,     25.280
2019-02-27,--:--,     25.020
2019-02-28,--:--,     24.920
2019-03-01,--:--,     24.640
2019-03-02,--:--,     24.510
2019-03-03,--:--,     24.420
2019-03-04,--:--,     24.390
2019-03-05,--:--,     24.450
2019-03-06,--:--,     24.350
2019-03-07,--:--,     24.370
2019-03-08,--:--,     25.390
2019-03-09,--:--,     26.890
2019-03-10,--:--,     25.450
2019-03-11,--:--,     25.290
2019-03-12,--:--,     25.130
2019-03-13,--:--,     25.190
2019-03-14,--:--,     25.280
2019-03-15,--:--,     25.170
2019-03-16,--:--,     25.210
2019-03-17,--:--,     25.270
2019-03-18,--:--,     25.220
2019-03-19,--:--,     24.920
2019-03-20,--:--,     24.770
2019-03-21,--:--,     24.530
2019-03-22,--:--,     24.800
2019-03-23,--:--,     26.660
2019-03-24,--:--,     25.690
2019-03-25,--:--,     25.580
2019-03-26,--:--,     25.270
2019-03-27,--:--,     25.230
2019-03-28,--:--,     26.150
2019-03-29,--:--,     26.290
2019-03-30,--:--,     25.470
2019-03-31,--:--,     25.630
2019-04-01,--:--,     27.180
2019-04-02,--:--,     31.450
2019-04-03,--:--,     27.120
2019-04-04,--:--,     26.340
2019-04-05,--:--,     26.010
2019-04-06,--:--,     25.720
2019-04-07,--:--,     25.600
2019-04-08,--:--,     25.460
2019-04-09,--:--,     25.370
2019-04-10,--:--,     25.330
2019-04-11,--:--,     25.460
2019-04-12,--:--,     26.190
2019-04-13,--:--,     25.060
2019-04-14,--:--,     25.100
2019-04-15,--:--,     24.910
2019-04-16,--:--,     24.760
2019-04-17,--:--,     24.650
2019-04-18,--:--,     24.590
2019-04-19,--:--,     24.410
2019-04-20,--:--,     24.270
2019-04-21,--:--,     24.420
2019-04-22,--:--,     26.020
2019-04-23,--:--,     28.420
2019-04-24,--:--,     26.460
2019-04-25,--:--,     25.930
2019-04-26,--:--,     25.660
2019-04-27,--:--,     25.470
2019-04-28,--:--,     25.650
2019-04-29,--:--,     26.350
2019-04-30,--:--,     25.610
2019-05-01,--:--,     25.220
2019-05-02,--:--,     25.050
2019-05-03,--:--,     25.050
2019-05-04,--:--,     24.920
2019-05-05,--:--,     24.820
2019-05-06,--:--,     24.810
2019-05-07,--:--,     24.730
2019-05-08,--:--,     24.710
2019-05-09,--:--,     24.790
2019-05-10,--:--,     24.750
2019-05-11,--:--,     24.830
2019-05-12,--:--,     25.130
2019-05-13,--:--,     28.300
2019-05-14,--:--,     25.850
2019-05-15,--:--,     25.570
2019-05-16,--:--,     25.430
2019-05-17,--:--,     25.510
2019-05-18,--:--,     24.660
2019-05-19,--:--,     25.060
2019-05-20,--:--,     24.800
2019-05-21,--:--,     24.670
2019-05-22,--:--,     24.520
2019-05-23,--:--,     24.470
2019-05-24,--:--,     24.320
2019-05-25,--:--,     24.610
2019-05-26,--:--,     24.230
2019-05-27,--:--,     24.230
2019-05-28,--:--,     26.430
2019-05-29,--:--,     26.900
2019-05-30,--:--,     25.300
2019-05-31,--:--,     25.630
2019-06-01,--:--,     26.040
2019-06-02,--:--,     25.640
2019-06-03,--:--,     25.290
2019-06-04,--:--,     25.220
2019-06-05,--:--,     26.160
2019-06-06,--:--,     27.200
2019-06-07,--:--,     25.700
2019-06-08,--:--,     25.380
2019-06-09,--:--,     25.140
2019-06-10,--:--,     24.930
2019-06-11,--:--,     24.800
2019-06-12,--:--,     25.890
2019-06-13,--:--,     32.200
2019-06-14,--:--,     28.940
2019-06-15,--:--,     27.420
2019-06-16,--:--,     26.760
2019-06-17,--:--,     26.510
2019-06-18,--:--,     25.980
2019-06-19,--:--,     25.770
2019-06-20,--:--,     25.670
2019-06-21,--:--,     27.090
2019-06-22,--:--,     27.970
2019-06-23,--:--,     26.970
2019-06-24,--:--,     27.200
2019-06-25,--:--,     26.280
2019-06-26,--:--,     26.100
2019-06-27,--:--,     25.860
2019-06-28,--:--,     25.830
2019-06-29,--:--,     25.670
2019-06-30,--:--,     25.540
2019-07-01,--:--,     25.670
2019-07-02,--:--,     25.730
2019-07-03,--:--,     27.230
2019-07-04,--:--,     35.640
2019-07-05,--:--,     50.400
2019-07-06,--:--,     40.320
2019-07-07,--:--,     36.410
2019-07-08,--:--,     34.360
2019-07-09,--:--,     33.160
2019-07-10,--:--,     32.170
2019-07-11,--:--,     31.510
2019-07-12,--:--,     31.100
2019-07-13,--:--,     30.920
2019-07-14,--:--,     30.750
2019-07-15,--:--,     31.270
2019-07-16,--:--,     31.720
2019-07-17,--:--,     31.510
2019-07-18,--:--,     30.400
2019-07-19,--:--,     31.230
2019-07-20,--:--,     33.280
2019-07-21,--:--,     31.200
2019-07-22,--:--,     30.670
2019-07-23,--:--,     30.250
2019-07-24,--:--,     29.990
2019-07-25,--:--,     29.710
2019-07-26,--:--,     29.360
2019-07-27,--:--,     29.280
2019-07-28,--:--,     29.020
2019-07-29,--:--,     28.770
2019-07-30,--:--,     29.970
2019-07-31,--:--,     29.430
2019-08-01,--:--,     28.970
2019-08-02,--:--,     28.830
2019-08-03,--:--,     28.630
2019-08-04,--:--,     28.630
2019-08-05,--:--,     28.330
2019-08-06,--:--,     28.060
2019-08-07,--:--,     27.670
2019-08-08,--:--,     27.720
2019-08-09,--:--,     28.110
2019-08-10,--:--,     27.990
2019-08-11,--:--,     29.910
2019-08-12,--:--,     30.110
2019-08-13,--:--,     30.270
2019-08-14,--:--,     29.250
2019-08-15,--:--,     28.730
2019-08-16,--:--,     28.480
2019-08-17,--:--,     28.080
2019-08-18,--:--,     28.120
2019-08-19,--:--,     27.540
2019-08-20,--:--,     27.570
2019-08-21,--:--,     30.720
2019-08-22,--:--,     29.630
2019-08-23,--:--,     29.650
2019-08-24,--:--,     29.490
2019-08-25,--:--,     28.740
2019-08-26,--:--,     28.470
2019-08-27,--:--,     28.080
2019-08-28,--:--,     27.750
2019-08-29,--:--,     27.650
2019-08-30,--:--,     27.490
2019-08-31,--:--,     27.420
2019-09-01,--:--,     27.180
2019-09-02,--:--,     27.060
2019-09-03,--:--,     27.040
2019-09-04,--:--,     29.320
2019-09-05,--:--,     33.690
2019-09-06,--:--,     32.330
2019-09-07,--:--,     30.760
2019-09-08,--:--,     30.690
2019-09-09,--:--,     30.520
2019-09-10,--:--,     30.310
2019-09-11,--:--,     29.720
2019-09-12,--:--,     29.360
2019-09-13,--:--,     29.130
2019-09-14,--:--,     28.920
2019-09-15,--:--,     29.850
2019-09-16,--:--,     28.710
2019-09-17,--:--,     28.560
2019-09-18,--:--,     28.250
2019-09-19,--:--,     27.910
2019-09-20,--:--,     27.790
2019-09-21,--:--,     27.610
2019-09-22,--:--,     27.500
2019-09-23,--:--,     27.510
2019-09-24,--:--,     27.960
2019-09-25,--:--,     28.290
2019-09-26,--:--,     28.050
2019-09-27,--:--,     27.520
2019-09-28,--:--,     27.330
2019-09-29,--:--,     27.160
2019-09-30,--:--,     27.910
2019-10-01,--:--,     28.040
2019-10-02,--:--,     27.550
2019-10-03,--:--,     27.320
2019-10-04,--:--,     27.050
2019-10-05,--:--,     26.830
2019-10-06,--:--,     27.150
2019-10-07,--:--,     26.680
2019-10-08,--:--,     26.660
2019-10-09,--:--,     26.560
2019-10-10,--:--,     26.650
2019-10-11,--:--,     28.460
2019-10-12,--:--,     30.760
2019-10-13,--:--,     28.780
2019-10-14,--:--,     29.170
2019-10-15,--:--,     30.760
2019-10-16,--:--,     33.040
2019-10-17,--:--,     30.580
2019-10-18,--:--,     30.050
2019-10-19,--:--,     29.710
2019-10-20,--:--,     29.280
2019-10-21,--:--,     28.970
2019-10-22,--:--,     28.800
2019-10-23,--:--,     28.810
2019-10-24,--:--,     28.340
2019-10-25,--:--,     28.080
2019-10-26,--:--,     27.820
2019-10-27,--:--,     27.650
2019-10-28,--:--,     27.480
2019-10-29,--:--,     27.490
2019-10-30,--:--,     27.200
2019-10-31,--:--,     27.050
2019-11-01,--:--,     26.730
2019-11-02,--:--,     26.490
2019-11-03,--:--,     26.370
2019-11-04,--:--,     26.110
2019-11-05,--:--,     25.950
2019-11-06,--:--,     25.730
2019-11-07,--:--,     25.380
2019-11-08,--:--,     25.130
2019-11-09,--:--,     25.130
2019-11-10,--:--,     27.240
2019-11-11,--:--,     30.510
2019-11-12,--:--,     28.780
2019-11-13,--:--,     27.510
2019-11-14,--:--,     27.590
2019-11-15,--:--,     27.110
2019-11-16,--:--,     26.790
2019-11-17,--:--,     26.540
2019-11-18,--:--,     26.870
2019-11-19,--:--,     26.920
2019-11-20,--:--,     26.440
2019-11-21,--:--,     25.910
2019-11-22,--:--,     25.710
2019-11-23,--:--,     25.520
2019-11-24,--:--,     25.440
2019-11-25,--:--,     25.320
2019-11-26,--:--,     25.150
2019-11-27,--:--,     25.140
2019-11-28,--:--,     25.030
2019-11-29,--:--,     24.910
2019-11-30,--:--,     24.910
2019-12-01,--:--,     25.040
2019-12-02,--:--,     25.430
2019-12-03,--:--,     25.790
2019-12-04,--:--,     26.190
2019-12-05,--:--,     25.330
2019-12-06,--:--,     25.020
2019-12-07,--:--,     25.000
2019-12-08,--:--,     25.410
2019-12-09,--:--,     26.750
2019-12-10,--:--,     25.580
2019-12-11,--:--,     25.180
2019-12-12,--:--,     24.840
2019-12-13,--:--,     24.990
2019-12-14,--:--,     24.780
2019-12-15,--:--,     24.540
2019-12-16,--:--,     24.640
2019-12-17,--:--,     25.910
2019-12-18,--:--,     30.200
2019-12-19,--:--,     26.930
2019-12-20,--:--,     26.410
2019-12-21,--:--,     26.180
2019-12-22,--:--,     25.560
2019-12-23,--:--,     25.380
2019-12-24,--:--,     24.960
2019-12-25,--:--,     24.900
2019-12-26,--:--,     27.460
2019-12-27,--:--,     26.350
2019-12-28,--:--,     25.790
2019-12-29,--:--,     25.210
2019-12-30,--:--,     24.940
2019-12-31,--:--,     24.520
2020-01-01,--:--,     24.180
2020-01-02,--:--,     24.140
2020-01-03,--:--,     23.950
2020-01-04,--:--,     23.880
2020-01-05,--:--,     23.520
2020-01-06,--:--,     23.450
2020-01-07,--:--,     23.170
2020-01-08,--:--,     22.890
2020-01-09,--:--,     23.150
2020-01-10,--:--,     22.730
2020-01-11,--:--,     22.540
2020-01-12,--:--,     22.470
2020-01-13,--:--,     22.430
2020-01-14,--:--,     22.910
2020-01-15,--:--,     22.540
2020-01-16,--:--,     22.360
2020-01-17,--:--,     22.350
2020-01-18,--:--,     22.270
2020-01-19,--:--,     22.060
2020-01-20,--:--,     21.960
2020-01-21,--:--,     21.800
2020-01-22,--:--,     21.970
2020-01-23,--:--,     21.860
2020-01-24,--:--,     21.760
2020-01-25,--:--,     21.620
2020-01-26,--:--,     21.530
2020-01-27,--:--,     21.430
2020-01-28,--:--,     21.360
2020-01-29,--:--,     21.380
2020-01-30,--:--,     21.360
2020-01-31,--:--,     21.270
2020-02-01,--:--,     21.210
2020-02-02,--:--,     21.020
2020-02-03,--:--,     21.090
2020-02-04,--:--,     20.840
2020-02-05,--:--,     20.970
2020-02-06,--:--,     21.540
2020-02-07,--:--,     20.780
2020-02-08,--:--,     20.250
2020-02-09,--:--,     20.860
2020-02-10,--:--,     20.600
2020-02-11,--:--,     20.780
2020-02-12,--:--,     20.630
2020-02-13,--:--,     20.690
2020-02-14,--:--,     20.700
2020-02-15,--:--,     20.690
2020-02-16,--:--,     20.600
2020-02-17,--:--,     20.770
2020-02-18,--:--,     20.670
2020-02-19,--:--,     20.820
2020-02-20,--:--,     21.490
2020-02-21,--:--,     20.970
2020-02-22,--:--,     21.200
2020-02-23,--:--,     21.420
2020-02-24,--:--,     20.960
2020-02-25,--:--,     21.020
2020-02-26,--:--,     21.120
2020-02-27,--:--,     21.040
2020-02-28,--:--,     20.970
2020-02-29,--:--,     20.960
2020-03-01,--:--,     20.900
2020-03-02,--:--,     20.790
2020-03-03,--:--,     20.870
2020-03-04,--:--,     21.920
2020-03-05,--:--,     22.900
2020-03-06,--:--,     21.600
2020-03-07,--:--,     21.460
2020-03-08,--:--,     21.300
2020-03-09,--:--,     21.420
2020-03-10,--:--,     22.400
2020-03-11,--:--,     21.680
2020-03-12,--:--,     22.170
2020-03-13,--:--,     21.600
2020-03-14,--:--,     21.400
2020-03-15,--:--,     21.370
2020-03-16,--:--,     21.440
2020-03-17,--:--,     21.050
2020-03-18,--:--,     20.960
2020-03-19,--:--,     20.920
2020-03-20,--:--,     20.590
2020-03-21,--:--,     21.000
2020-03-22,--:--,     20.810
2020-03-23,--:--,     22.020
2020-03-24,--:--,     22.850
2020-03-25,--:--,     21.860
2020-03-26,--:--,     21.750
2020-03-27,--:--,     21.640
2020-03-28,--:--,     21.850
2020-03-29,--:--,     21.540
2020-03-30,--:--,     21.720
2020-03-31,--:--,     21.900
2020-04-01,--:--,     21.730
2020-04-02,--:--,     21.740
2020-04-03,--:--,     21.660
2020-04-04,--:--,     21.520
2020-04-05,--:--,     21.450
2020-04-06,--:--,     21.420
2020-04-07,--:--,     21.390
2020-04-08,--:--,     21.400
2020-04-09,--:--,     21.760
2020-04-10,--:--,     21.540
2020-04-11,--:--,     21.460
2020-04-12,--:--,     21.440
2020-04-13,--:--,     23.350
2020-04-14,--:--,     22.110
2020-04-15,--:--,     21.740
2020-04-16,--:--,     21.500
2020-04-17,--:--,     21.470
2020-04-18,--:--,     21.950
2020-04-19,--:--,     21.480
2020-04-20,--:--,     21.250
2020-04-21,--:--,     21.050
2020-04-22,--:--,     20.990
2020-04-23,--:--,     20.910
2020-04-24,--:--,     21.080
2020-04-25,--:--,     20.890
2020-04-26,--:--,     20.810
2020-04-27,--:--,     20.680
2020-04-28,--:--,     20.640
2020-04-29,--:--,     20.580
2020-04-30,--:--,     20.520
2020-05-01,--:--,     20.650
2020-05-02,--:--,     20.580
2020-05-03,--:--,     21.940
2020-05-04,--:--,     25.080
2020-05-05,--:--,     23.230
2020-05-06,--:--,     22.440
2020-05-07,--:--,     22.080
2020-05-08,--:--,     22.010
2020-05-09,--:--,     21.810
2020-05-10,--:--,     21.640
2020-05-11,--:--,     21.570
2020-05-12,--:--,     21.480
2020-05-13,--:--,     21.390
2020-05-14,--:--,     21.310
2020-05-15,--:--,     21.240
2020-05-16,--:--,     21.130
2020-05-17,--:--,     21.090
2020-05-18,--:--,     21.040
2020-05-19,--:--,     20.920
2020-05-20,--:--,     20.840
2020-05-21,--:--,     20.880
2020-05-22,--:--,     20.880
2020-05-23,--:--,     20.810
2020-05-24,--:--,     21.090
2020-05-25,--:--,     24.290
2020-05-26,--:--,     22.280
2020-05-27,--:--,     21.600
2020-05-28,--:--,     21.380
2020-05-29,--:--,     21.260
2020-05-30,--:--,     21.190
2020-05-31,--:--,     21.090
2020-06-01,--:--,     22.430
2020-06-02,--:--,     25.820
2020-06-03,--:--,     23.110
2020-06-04,--:--,     26.840
2020-06-05,--:--,     24.460
2020-06-06,--:--,     23.660
2020-06-07,--:--,     23.160
2020-06-08,--:--,     22.750
2020-06-09,--:--,     22.400
2020-06-10,--:--,     22.100
2020-06-11,--:--,     21.930
2020-06-12,--:--,     21.910
2020-06-13,--:--,     21.740
2020-06-14,--:--,     21.500
2020-06-15,--:--,     21.460
2020-06-16,--:--,     21.270
2020-06-17,--:--,     21.250
2020-06-18,--:--,     21.650
2020-06-19,--:--,     27.630
2020-06-20,--:--,     34.230
2020-06-21,--:--,     28.650
2020-06-22,--:--,     26.530
2020-06-23,--:--,     25.760
2020-06-24,--:--,     25.080
2020-06-25,--:--,     25.630
2020-06-26,--:--,     27.400
2020-06-27,--:--,     27.530
2020-06-28,--:--,     32.270
2020-06-29,--:--,     29.870
2020-06-30,--:--,     29.780
2020-07-01,--:--,     28.170
2020-07-02,--:--,     27.570
2020-07-03,--:--,     26.540
2020-07-04,--:--,     26.210
2020-07-05,--:--,     26.130
2020-07-06,--:--,     29.130
2020-07-07,--:--,     29.210
2020-07-08,--:--,     27.940
2020-07-09,--:--,     27.560
2020-07-10,--:--,     26.930
2020-07-11,--:--,     25.810
2020-07-12,--:--,     26.020
2020-07-13,--:--,     25.780
2020-07-14,--:--,     25.880
2020-07-15,--:--,     25.830
2020-07-16,--:--,     26.320
2020-07-17,--:--,     26.540
2020-07-18,--:--,     26.030
2020-07-19,--:--,     26.520
2020-07-20,--:--,     25.770
2020-07-21,--:--,     28.200
2020-07-22,--:--,     28.860
2020-07-23,--:--,     27.580
2020-07-24,--:--,     27.070
2020-07-25,--:--,     26.500
2020-07-26,--:--,     26.130
2020-07-27,--:--,     25.800
2020-07-28,--:--,     25.580
2020-07-29,--:--,     25.350
2020-07-30,--:--,     25.080
2020-07-31,--:--,     25.100
2020-08-01,--:--,     24.860
2020-08-02,--:--,     24.690
2020-08-03,--:--,     24.580
2020-08-04,--:--,     24.430
2020-08-05,--:--,     24.130
2020-08-06,--:--,     24.050
2020-08-07,--:--,     25.930
2020-08-08,--:--,     25.320
2020-08-09,--:--,     24.370
2020-08-10,--:--,     24.220
2020-08-11,--:--,     24.530
2020-08-12,--:--,     26.030
2020-08-13,--:--,     24.620
2020-08-14,--:--,     24.200
2020-08-15,--:--,     23.870
2020-08-16,--:--,     23.710
2020-08-17,--:--,     23.520
2020-08-18,--:--,     23.450
2020-08-19,--:--,     26.470
2020-08-20,--:--,     36.390
2020-08-21,--:--,     30.830
2020-08-22,--:--,     28.770
2020-08-23,--:--,     28.840
2020-08-24,--:--,     32.110
2020-08-25,--:--,     30.080
2020-08-26,--:--,     29.100
2020-08-27,--:--,     28.640
2020-08-28,--:--,     28.180
2020-08-29,--:--,     27.810
2020-08-30,--:--,     27.750
2020-08-31,--:--,     27.590
2020-09-01,--:--,     27.400
2020-09-02,--:--,     27.010
2020-09-03,--:--,     26.790
2020-09-04,--:--,     26.350
2020-09-05,--:--,     26.310
2020-09-06,--:--,     26.070
2020-09-07,--:--,     26.510
2020-09-08,--:--,     25.820
2020-09-09,--:--,     25.760
2020-09-10,--:--,     25.670
2020-09-11,--:--,     25.460
2020-09-12,--:--,     25.070
2020-09-13,--:--,     24.920
2020-09-14,--:--,     24.980
2020-09-15,--:--,     24.790
2020-09-16,--:--,     24.520
2020-09-17,--:--,     24.390
2020-09-18,--:--,     24.500
2020-09-19,--:--,     24.290
2020-09-20,--:--,     24.000
2020-09-21,--:--,     23.820
2020-09-22,--:--,     23.740
2020-09-23,--:--,     23.600
2020-09-24,--:--,     23.900
2020-09-25,--:--,     24.060
2020-09-26,--:--,     23.750
2020-09-27,--:--,     25.180
2020-09-28,--:--,     24.960
2020-09-29,--:--,     24.560
2020-09-30,--:--,     24.110
2020-10-01,--:--,     23.710
2020-10-02,--:--,     23.830
2020-10-03,--:--,     23.480
2020-10-04,--:--,     23.470
2020-10-05,--:--,     23.280
2020-10-06,--:--,     23.230
2020-10-07,--:--,     23.140
2020-10-08,--:--,     23.040
2020-10-09,--:--,     22.810
2020-10-10,--:--,     22.560
2020-10-11,--:--,     22.610
2020-10-12,--:--,     22.800
2020-10-13,--:--,     24.100
2020-10-14,--:--,     24.210
2020-10-15,--:--,     23.380
2020-10-16,--:--,     23.350
2020-10-17,--:--,     23.240
2020-10-18,--:--,     22.880
2020-10-19,--:--,     22.760
2020-10-20,--:--,     22.820
2020-10-21,--:--,     22.780
2020-10-22,--:--,     22.840
2020-10-23,--:--,     22.540
2020-10-24,--:--,     22.440
2020-10-25,--:--,     22.390
2020-10-26,--:--,     22.220
2020-10-27,--:--,     22.180
2020-10-28,--:--,     21.990
2020-10-29,--:--,     21.860
2020-10-30,--:--,     21.870
2020-10-31,--:--,     22.090
2020-11-01,--:--,     22.290
2020-11-02,--:--,     21.870
2020-11-03,--:--,     21.660
2020-11-04,--:--,     21.870
2020-11-05,--:--,     23.160
2020-11-06,--:--,     28.940
2020-11-07,--:--,     24.650
2020-11-08,--:--,     25.150
2020-11-09,--:--,     26.000
2020-11-10,--:--,     26.570
2020-11-11,--:--,     30.940
2020-11-12,--:--,     28.470
2020-11-13,--:--,     26.740
2020-11-14,--:--,     26.330
2020-11-15,--:--,     25.690
2020-11-16,--:--,     25.340
2020-11-17,--:--,     24.930
2020-11-18,--:--,     24.690
2020-11-19,--:--,     24.440
2020-11-20,--:--,     23.950
2020-11-21,--:--,     23.630
2020-11-22,--:--,     23.400
2020-11-23,--:--,     22.960
2020-11-24,--:--,     23.320
2020-11-25,--:--,     29.150
2020-11-26,--:--,     29.350
2020-11-27,--:--,     26.130
2020-11-28,--:--,     25.290
2020-11-29,--:--,     25.110
2020-11-30,--:--,     25.200
2020-12-01,--:--,     25.970
2020-12-02,--:--,     24.610
2020-12-03,--:--,     24.450
2020-12-04,--:--,     24.130
2020-12-05,--:--,     23.950
2020-12-06,--:--,     23.760
2020-12-07,--:--,     23.450
2020-12-08,--:--,     23.200
2020-12-09,--:--,     22.990
2020-12-10,--:--,     25.570
2020-12-11,--:--,     24.310
2020-12-12,--:--,     23.690
2020-12-13,--:--,     23.490
2020-12-14,--:--,     23.120
2020-12-15,--:--,     23.000
2020-12-16,--:--,     22.670
2020-12-17,--:--,     22.480
2020-12-18,--:--,     22.180
2020-12-19,--:--,     22.030
2020-12-20,--:--,     21.910
2020-12-21,--:--,     21.840
2020-12-22,--:--,     21.890
2020-12-23,--:--,     22.060
2020-12-24,--:--,     22.120
2020-12-25,--:--,     21.930
2020-12-26,--:--,     21.650
2020-12-27,--:--,     21.590
2020-12-28,--:--,     23.010
2020-12-29,--:--,     21.580
2020-12-30,--:--,     21.360
2020-12-31,--:--,     20.920
2021-01-01,--:--,     20.910
2021-01-02,--:--,     21.160
2021-01-03,--:--,     24.890
2021-01-04,--:--,     23.380
2021-01-05,--:--,     23.070
2021-01-06,--:--,     22.370
2021-01-07,--:--,     22.110
2021-01-08,--:--,     22.330
2021-01-09,--:--,     22.580
2021-01-10,--:--,     23.380
2021-01-11,--:--,     22.360
2021-01-12,--:--,     21.880
2021-01-13,--:--,     21.680
2021-01-14,--:--,     21.530
2021-01-15,--:--,     21.370
2021-01-16,--:--,     21.710
2021-01-17,--:--,     21.370
2021-01-18,--:--,     21.630
2021-01-19,--:--,     21.180
2021-01-20,--:--,     21.450
2021-01-21,--:--,     20.990
2021-01-22,--:--,     20.740
2021-01-23,--:--,     20.690
2021-01-24,--:--,     20.500
2021-01-25,--:--,     20.480
2021-01-26,--:--,     20.970
2021-01-27,--:--,     21.160
2021-01-28,--:--,     21.060
2021-01-29,--:--,     20.950
2021-01-30,--:--,     20.770
2021-01-31,--:--,     20.460
2021-02-01,--:--,     20.490
2021-02-02,--:--,     20.410
2021-02-03,--:--,     20.470
2021-02-04,--:--,     20.400
2021-02-05,--:--,     20.280
2021-02-06,--:--,     20.240
2021-02-07,--:--,     20.200
2021-02-08,--:--,     20.150
2021-02-09,--:--,     20.250
2021-02-10,--:--,     20.990
2021-02-11,--:--,     21.100
2021-02-12,--:--,     20.950
2021-02-13,--:--,     20.420
2021-02-14,--:--,     20.280
2021-02-15,--:--,     21.360
2021-02-16,--:--,     27.120
2021-02-17,--:--,     24.390
2021-02-18,--:--,     22.090
2021-02-19,--:--,     22.040
2021-02-20,--:--,     21.720
2021-02-21,--:--,     21.500
2021-02-22,--:--,     21.330
2021-02-23,--:--,     21.150
2021-02-24,--:--,     21.230
2021-02-25,--:--,     21.100
2021-02-26,--:--,     21.180
2021-02-27,--:--,     21.060
2021-02-28,--:--,     20.920
2021-03-01,--:--,     21.060
2021-03-02,--:--,     21.700
2021-03-03,--:--,     21.660
2021-03-04,--:--,     21.830
2021-03-05,--:--,     22.860
2021-03-06,--:--,     21.790
2021-03-07,--:--,     21.750
2021-03-08,--:--,     21.400
2021-03-09,--:--,     21.730
2021-03-10,--:--,     21.300
2021-03-11,--:--,     21.560
2021-03-12,--:--,     22.400
2021-03-13,--:--,     21.500
2021-03-14,--:--,     21.320
2021-03-15,--:--,     21.350
2021-03-16,--:--,     21.250
2021-03-17,--:--,     21.070
2021-03-18,--:--,     20.780
2021-03-19,--:--,     21.050
2021-03-20,--:--,     20.620
2021-03-21,--:--,     20.650
2021-03-22,--:--,     20.470
2021-03-23,--:--,     20.300
2021-03-24,--:--,     19.960
2021-03-25,--:--,     20.070
2021-03-26,--:--,     19.970
2021-03-27,--:--,     20.030
2021-03-28,--:--,     20.150
2021-03-29,--:--,     20.560
2021-03-30,--:--,     21.310
2021-03-31,--:--,     21.710
2021-04-01,--:--,     23.290
2021-04-02,--:--,     21.900
2021-04-03,--:--,     21.530
2021-04-04,--:--,     21.250
2021-04-05,--:--,     21.120
2021-04-06,--:--,     21.120
2021-04-07,--:--,     20.880
2021-04-08,--:--,     20.730
2021-04-09,--:--,     21.090
2021-04-10,--:--,     21.610
2021-04-11,--:--,     23.330
2021-04-12,--:--,     22.760
2021-04-13,--:--,     22.330
2021-04-14,--:--,     22.130
2021-04-15,--:--,     22.010
2021-04-16,--:--,     21.650
2021-04-17,--:--,     21.530
2021-04-18,--:--,     21.200
2021-04-19,--:--,     21.000
2021-04-20,--:--,     20.970
2021-04-21,--:--,     26.050
2021-04-22,--:--,     23.940
2021-04-23,--:--,     22.900
2021-04-24,--:--,     22.750
2021-04-25,--:--,     22.420
2021-04-26,--:--,     22.150
2021-04-27,--:--,     22.000
2021-04-28,--:--,     21.930
2021-04-29,--:--,     21.420
2021-04-30,--:--,     21.200
2021-05-01,--:--,     21.240
2021-05-02,--:--,     21.100
2021-05-03,--:--,     20.900
2021-05-04,--:--,     20.950
2021-05-05,--:--,     20.860
2021-05-06,--:--,     20.810
2021-05-07,--:--,     20.620
2021-05-08,--:--,     20.610
2021-05-09,--:--,     20.770
2021-05-10,--:--,     20.640
2021-05-11,--:--,     20.710
2021-05-12,--:--,     20.940
2021-05-13,--:--,     21.230
2021-05-14,--:--,     20.960
2021-05-15,--:--,     23.290
2021-05-16,--:--,     22.080
2021-05-17,--:--,     21.630
2021-05-18,--:--,     21.800
2021-05-19,--:--,     21.310
2021-05-20,--:--,     20.970
2021-05-21,--:--,     20.800
2021-05-22,--:--,     20.750
2021-05-23,--:--,     20.880
2021-05-24,--:--,     20.660
2021-05-25,--:--,     20.410
2021-05-26,--:--,     20.360
2021-05-27,--:--,     20.240
2021-05-28,--:--,     20.310
2021-05-29,--:--,     21.210
2021-05-30,--:--,     23.930
2021-05-31,--:--,     21.910
2021-06-01,--:--,     21.220
2021-06-02,--:--,     20.660
2021-06-03,--:--,     20.620
2021-06-04,--:--,     20.530
2021-06-05,--:--,     20.520
2021-06-06,--:--,     21.190
2021-06-07,--:--,     24.290
2021-06-08,--:--,     23.040
2021-06-09,--:--,     22.420
2021-06-10,--:--,     22.040
2021-06-11,--:--,     21.930
2021-06-12,--:--,     21.760
2021-06-13,--:--,     21.810
2021-06-14,--:--,     22.770
2021-06-15,--:--,     24.990
